id,content_id,group_id,coefficient,purchase_limit
1,184,1,0,0
2,190,1,0,0
3,162,1,0,0
4,163,1,0,0
5,164,1,0,0
6,242,2,0,0
7,270,2,0,0
8,298,2,0,0
9,2,3,0,0
10,9,3,0,0
11,10,3,0,0
12,11,3,0,0
13,15,3,0,0
14,16,3,0,0
15,21,3,0,0
16,25,3,0,0
17,215,4,0,0
18,157,4,0,0
19,265,5,0,0
20,181,6,0,0
21,189,6,0,0
22,196,6,0,0
23,204,6,0,0
24,241,7,0,0
25,262,7,0,0
26,264,7,0,0
27,294,7,0,0
28,2,8,0,0
29,9,8,0,0
30,10,8,0,0
31,11,8,0,0
32,15,8,0,0
33,16,8,0,0
34,21,8,0,0
35,25,8,0,0
36,162,9,0,0
37,163,9,0,0
38,164,9,0,0
39,251,9,0,0
40,273,9,0,0
41,297,9,0,0
42,2,10,0,0
43,9,10,0,0
44,10,10,0,0
45,11,10,0,0
46,15,10,0,0
47,16,10,0,0
48,21,10,0,0
49,25,10,0,0
50,183,11,0,0
51,182,11,0,0
52,190,11,0,0
53,521,11,0,0
54,205,11,0,0
55,245,12,0,0
56,266,12,0,0
57,298,12,0,0
58,231,12,0,0
59,252,12,0,0
60,275,12,0,0
61,299,12,0,0
62,2,13,0,0
63,3,13,0,0
64,9,13,0,0
65,10,13,0,0
66,14,13,0,0
67,16,13,0,0
68,21,13,0,0
69,22,13,0,0
70,181,14,0,0
71,189,14,0,0
72,148,14,0,0
73,220,14,0,0
74,196,14,0,0
75,521,14,0,0
76,204,14,0,0
77,205,14,0,0
78,228,15,0,0
79,244,15,0,0
80,267,15,0,0
81,292,15,0,0
82,294,15,0,0
83,2,16,0,0
84,9,16,0,0
85,10,16,0,0
86,11,16,0,0
87,15,16,0,0
88,16,16,0,0
89,21,16,0,0
90,25,16,0,0
91,191,17,0,0
92,156,17,0,0
93,169,17,0,0
94,137,17,0,0
95,232,18,0,0
96,254,18,0,0
97,277,18,0,0
98,301,18,0,0
99,11,19,0,0
100,12,19,0,0
101,13,19,0,0
102,168,20,0,0
103,198,20,0,0
104,206,20,0,0
105,207,20,0,0
106,208,20,0,0
107,241,21,0,0
108,243,21,0,0
109,262,21,0,0
110,264,21,0,0
111,290,21,0,0
112,2,22,0,0
113,9,22,0,0
114,10,22,0,0
115,11,22,0,0
116,15,22,0,0
117,16,22,0,0
118,21,22,0,0
119,25,22,0,0
120,60,23,0,0
121,192,24,0,0
122,140,24,0,0
123,151,24,0,0
124,175,24,0,0
125,220,24,0,0
126,199,24,0,0
127,210,24,0,0
128,234,25,0,0
129,280,25,0,0
130,272,25,0,0
131,10,26,0,0
132,11,26,0,0
133,12,26,0,0
134,13,26,0,0
135,14,26,0,0
136,15,26,0,0
137,16,26,0,0
138,17,26,0,0
139,171,27,0,0
140,198,27,0,0
141,209,27,0,0
142,139,27,0,0
143,150,27,0,0
144,233,28,0,0
145,278,28,0,0
146,249,28,0,0
147,269,28,0,0
148,300,28,0,0
149,10,29,0,0
150,11,29,0,0
151,12,29,0,0
152,13,29,0,0
153,14,29,0,0
154,15,29,0,0
155,16,29,0,0
156,17,29,0,0
157,9,30,0,0
158,2,30,0,0
159,3,30,0,0
160,21,30,0,0
161,22,30,0,0
162,24,30,0,0
163,25,30,0,0
164,18,30,0,0
165,176,31,0,0
166,216,31,0,0
167,172,31,0,0
168,199,31,0,0
169,211,31,0,0
170,235,32,0,0
171,255,32,0,0
172,282,32,0,0
173,303,32,0,0
174,253,32,0,0
175,302,32,0,0
176,10,33,0,0
177,11,33,0,0
178,12,33,0,0
179,13,33,0,0
180,14,33,0,0
181,15,33,0,0
182,16,33,0,0
183,17,33,0,0
184,9,34,0,0
185,2,34,0,0
186,3,34,0,0
187,21,34,0,0
188,22,34,0,0
189,24,34,0,0
190,25,34,0,0
191,18,34,0,0
192,215,35,0,0
193,216,35,0,0
194,217,35,0,0
195,177,35,0,0
196,187,35,0,0
197,193,35,0,0
198,212,35,0,0
199,236,36,0,0
200,276,36,0,0
201,10,37,0,0
202,11,37,0,0
203,12,37,0,0
204,13,37,0,0
205,14,37,0,0
206,15,37,0,0
207,16,37,0,0
208,17,37,0,0
209,9,38,0,0
210,2,38,0,0
211,3,38,0,0
212,21,38,0,0
213,22,38,0,0
214,24,38,0,0
215,25,38,0,0
216,18,38,0,0
217,222,39,0,0
218,223,39,0,0
219,213,39,0,0
220,3,40,0,0
221,9,40,0,0
222,5,40,0,0
223,6,40,0,0
224,7,40,0,0
225,22,40,0,0
226,50,40,0,0
227,26,40,0,0
228,30,40,0,0
229,2,41,0,0
230,3,41,0,0
231,9,41,0,0
232,22,41,0,0
233,222,41,0,0
234,37,41,0,0
235,41,41,0,0
236,39,41,0,0
237,0,101,50,0
238,0,102,50,0
239,0,103,50,0
240,0,104,100,0
241,0,105,200,0
242,0,106,50,0
243,0,107,500,0
244,0,108,400,0
245,0,109,700,0
246,0,110,600,0
247,0,111,300,0
248,0,112,1200,0
